variable,units,mean,stdev,n,group,month,year,county,station,depth
Dissolved Oxygen,mg/L,9.627,1.342,282818,all_data,NA,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,103.66,6.679,3928518,all_data,NA,NA,NA,NA,NA
Salinity,practical salinity units,24.86,4.892,668099,all_data,NA,NA,NA,NA,NA
Temperature,degrees Celsius,7.334,5.537,26085508,all_data,NA,NA,NA,NA,NA
Dissolved Oxygen,mg/L,10.298,0.376,35325,all_month,1,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,101.874,4.919,308636,all_month,1,NA,NA,NA,NA
Salinity,practical salinity units,22.983,4.322,40082,all_month,1,NA,NA,NA,NA
Temperature,degrees Celsius,2.759,1.705,1806415,all_month,1,NA,NA,NA,NA
Dissolved Oxygen,mg/L,10.863,0.438,27665,all_month,2,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,102.189,4.88,419066,all_month,2,NA,NA,NA,NA
Salinity,practical salinity units,24.878,5.243,48930,all_month,2,NA,NA,NA,NA
Temperature,degrees Celsius,1.333,1.397,1975136,all_month,2,NA,NA,NA,NA
Dissolved Oxygen,mg/L,10.984,0.583,19707,all_month,3,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,103.271,4.672,568347,all_month,3,NA,NA,NA,NA
Salinity,practical salinity units,26.13,5.03,55407,all_month,3,NA,NA,NA,NA
Temperature,degrees Celsius,1.373,1.556,2605354,all_month,3,NA,NA,NA,NA
Dissolved Oxygen,mg/L,10.883,0.543,9696,all_month,4,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,105.937,5.365,302713,all_month,4,NA,NA,NA,NA
Salinity,practical salinity units,24.591,5.429,40703,all_month,4,NA,NA,NA,NA
Temperature,degrees Celsius,2.796,1.873,2468805,all_month,4,NA,NA,NA,NA
Dissolved Oxygen,mg/L,10.465,0.401,18890,all_month,5,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,106.373,6.565,236062,all_month,5,NA,NA,NA,NA
Salinity,practical salinity units,25.101,5.791,48290,all_month,5,NA,NA,NA,NA
Temperature,degrees Celsius,5.266,2.495,2301270,all_month,5,NA,NA,NA,NA
Dissolved Oxygen,mg/L,9.954,0.832,24675,all_month,6,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,107.843,7.31,211284,all_month,6,NA,NA,NA,NA
Salinity,practical salinity units,24.956,6.197,51345,all_month,6,NA,NA,NA,NA
Temperature,degrees Celsius,7.915,3.47,2258444,all_month,6,NA,NA,NA,NA
Dissolved Oxygen,mg/L,9.783,0.879,23806,all_month,7,NA,NA,NA,NA
Dissolved Oxygen,percent saturation,108.471,8.33,216573,all_month,7,NA,NA,NA,NA
Salinity,practical salinity units,27.556,5.292,50365,all_month,7,NA,NA,NA,NA
Temperature,degrees Celsius,11.16,4.377,2304949,all_month,7,NA,NA,NA,NA
